FECHA (YYMMDD);HORA (HHMM);;
020101;0100;;
020101;0200;;
020101;0300;;
020101;0400;;
020101;0500;;
020101;0600;;
020101;0700;;
020101;0800;;
020101;0900;;
020101;1000;;
020101;1100;;
020101;1200;;
020101;1300;;
020101;1400;;
020101;1500;;
020101;1600;;
020101;1700;;
020101;1800;;
020101;1900;;
020101;2000;;
020101;2100;;
020101;2200;;
020101;2300;;
020102;0000;;
020102;0100;;
020102;0200;;
020102;0300;;
020102;0400;;
020102;0500;;
020102;0600;;
020102;0700;;
020102;0800;;
020102;0900;;
020102;1000;;
020102;1100;;
020102;1200;;
020102;1300;;
020102;1400;;
020102;1500;;
020102;1600;;
020102;1700;;
020102;1800;;
020102;1900;;
020102;2000;;
020102;2100;;
020102;2200;;
020102;2300;;
020103;0000;;
020103;0100;;
020103;0200;;
020103;0300;;
020103;0400;;
020103;0500;;
020103;0600;;
020103;0700;;
020103;0800;;
020103;0900;;
020103;1000;;
020103;1100;;
020103;1200;;
020103;1300;;
020103;1400;;
020103;1500;;
020103;1600;;
020103;1700;;
020103;1800;;
020103;1900;;
020103;2000;;
020103;2100;;
020103;2200;;
020103;2300;;
020104;0000;;
020104;0100;;
020104;0200;;
020104;0300;;
020104;0400;;
020104;0500;;
020104;0600;;
020104;0700;;
020104;0800;;
020104;0900;;
020104;1000;;
020104;1100;;
020104;1200;;
020104;1300;;
020104;1400;;
020104;1500;;
020104;1600;;
020104;1700;;
020104;1800;;
020104;1900;;
020104;2000;;
020104;2100;;
020104;2200;;
020104;2300;;
020105;0000;;
020105;0100;;
020105;0200;;
020105;0300;;
020105;0400;;
020105;0500;;
020105;0600;;
020105;0700;;
020105;0800;;
020105;0900;;
020105;1000;;
020105;1100;;
020105;1200;;
020105;1300;;
020105;1400;;
020105;1500;;
020105;1600;;
020105;1700;;
020105;1800;;
020105;1900;;
020105;2000;;
020105;2100;;
020105;2200;;
020105;2300;;
020106;0000;;
020106;0100;;
020106;0200;;
020106;0300;;
020106;0400;;
020106;0500;;
020106;0600;;
020106;0700;;
020106;0800;;
020106;0900;;
020106;1000;;
020106;1100;;
020106;1200;;
020106;1300;;
020106;1400;;
020106;1500;;
020106;1600;;
020106;1700;;
020106;1800;;
020106;1900;;
020106;2000;;
020106;2100;;
020106;2200;;
020106;2300;;
020107;0000;;
020107;0100;;
020107;0200;;
020107;0300;;
020107;0400;;
020107;0500;;
020107;0600;;
020107;0700;;
020107;0800;;
020107;0900;;
020107;1000;;
020107;1100;;
020107;1200;;
020107;1300;;
020107;1400;;
